
Sat May 21 2022 01:14:01 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:49:49 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:36:28 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:35:44 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:33:26 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:31:05 GMT-0700 (Pacific Daylight Time), MEE6, [object Object]
Sat May 21 2022 00:31:04 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heaterundefined
Sat May 21 2022 00:31:03 GMT-0700 (Pacific Daylight Time), SusMawLi, !play silent hill kendrickundefined
Sat May 21 2022 00:29:08 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:27:26 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:23:37 GMT-0700 (Pacific Daylight Time), MEE6, [object Object]
Sat May 21 2022 00:23:35 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heater
Sat May 21 2022 00:23:35 GMT-0700 (Pacific Daylight Time), SusMawLi, !play culture club hurt me
Sat May 21 2022 00:22:32 GMT-0700 (Pacific Daylight Time), SusMawLi, <a:TE_PeepoDoorLeave:687201799882407939>
Sat May 21 2022 00:20:44 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:20:42 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:19:36 GMT-0700 (Pacific Daylight Time), oleuh, <@!250195035792998400> no gaslighting on this cord
Sat May 21 2022 00:18:32 GMT-0700 (Pacific Daylight Time), SusMawLi, no youre not
Sat May 21 2022 00:15:46 GMT-0700 (Pacific Daylight Time), MEE6, [object Object]
Sat May 21 2022 00:15:45 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heater
Sat May 21 2022 00:15:45 GMT-0700 (Pacific Daylight Time), SusMawLi, !play https://www.youtube.com/watch?v=rqnzehVRQWA
Sat May 21 2022 00:13:31 GMT-0700 (Pacific Daylight Time), oleuh, <@&976362256453492807> I’m on the way
Sat May 21 2022 00:11:44 GMT-0700 (Pacific Daylight Time), Bernard, [object Object]
Sat May 21 2022 00:09:26 GMT-0700 (Pacific Daylight Time), MEE6, 
Sat May 21 2022 00:09:24 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heater
Sat May 21 2022 00:09:24 GMT-0700 (Pacific Daylight Time), SilverSurfer69, !play https://open.spotify.com/track/1ACZpHI5vZ5Ea4xGlkdGWM?si=IvdoYGY1SxqGoPGMFaWaOA&utm_source=copy-link
Sat May 21 2022 00:04:20 GMT-0700 (Pacific Daylight Time), Bernard, 
Fri May 20 2022 23:36:36 GMT-0700 (Pacific Daylight Time), MEE6, 
Fri May 20 2022 23:36:34 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heater
Fri May 20 2022 23:36:34 GMT-0700 (Pacific Daylight Time), SusMawLi, !play afroman because i got high
Fri May 20 2022 23:36:11 GMT-0700 (Pacific Daylight Time), Bernard, 
Fri May 20 2022 23:36:10 GMT-0700 (Pacific Daylight Time), SusMawLi, !join
Fri May 20 2022 23:36:07 GMT-0700 (Pacific Daylight Time), Bernard, 
Fri May 20 2022 23:36:06 GMT-0700 (Pacific Daylight Time), SusMawLi, !leave
Fri May 20 2022 23:30:23 GMT-0700 (Pacific Daylight Time), SusMawLi, !leave
Fri May 20 2022 23:29:49 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heater
Fri May 20 2022 23:29:49 GMT-0700 (Pacific Daylight Time), SusMawLi, !play
Fri May 20 2022 23:29:23 GMT-0700 (Pacific Daylight Time), SusMawLi, !join
Fri May 20 2022 23:29:20 GMT-0700 (Pacific Daylight Time), SusMawLi, join
Fri May 20 2022 23:28:58 GMT-0700 (Pacific Daylight Time), SusMawLi, !leave
Fri May 20 2022 23:28:29 GMT-0700 (Pacific Daylight Time), Archivley, oof thats a heater
Fri May 20 2022 23:28:29 GMT-0700 (Pacific Daylight Time), SusMawLi, !play afroman because i got high
Fri May 20 2022 23:25:43 GMT-0700 (Pacific Daylight Time), Archivley, yoly
Fri May 20 2022 23:25:43 GMT-0700 (Pacific Daylight Time), SusMawLi, !yo
Fri May 20 2022 23:25:40 GMT-0700 (Pacific Daylight Time), Archivley, pong
Fri May 20 2022 23:25:40 GMT-0700 (Pacific Daylight Time), SusMawLi, !ping
